"p.geomean"	"stat.mean"	"p.val"	"q.val"	"set.size"	"hy_1"	"hy_2"
"ath00970 Aminoacyl-tRNA biosynthesis"	0.00188327003818444	2.95666381960597	2.25446899011995e-05	0.00250246057903315	56	0.00353801183335013	0.00104774217213533
"ath03008 Ribosome biogenesis in eukaryotes"	0.00389500494612259	2.67721188600973	9.07066344227539e-05	0.00503421821046284	93	0.00944335889370152	0.00160712240718919
"ath03030 DNA replication"	0.00688977122609574	2.50638608312567	0.000251877254023721	0.00931945839887767	49	0.0101222600744196	0.00468960754225217
"ath03420 Nucleotide excision repair"	0.0137930117575384	2.2032385224566	0.00104489060745433	0.0289957143568576	65	0.0356953750303618	0.00540490603441134
"ath00511 Other glycan degradation"	0.0163191911895106	2.22695345447526	0.00130704164760009	0.029016324576722	18	0.0196854519741404	0.0140377569357531
"ath03022 Basal transcription factors"	0.0218044130879673	2.02634802829682	0.0023447696784637	0.0433782390515784	52	0.0363873361905661	0.0137404655676656
"ath03410 Base excision repair"	0.0332325154849451	1.84606105040668	0.00500997212172953	0.0770431415594219	43	0.0534053673224522	0.0212238976842597
"ath03040 Spliceosome"	0.0355380194636519	1.80086956933279	0.00555265885112951	0.0770431415594219	188	0.0568291261058157	0.0222555442061719
"ath03010 Ribosome"	2.70350238475767e-36	-13.3706518386033	1.90299584793091e-70	2.11232539120331e-68	323	2.03451235465707e-37	3.99735284101071e-35
"ath00190 Oxidative phosphorylation"	1.06022752895145e-08	-5.79262322559197	1.19730291223835e-15	6.64503116292282e-14	126	5.05520954280824e-09	2.24678441254898e-08
"ath00195 Photosynthesis"	1.35658855585681e-05	-4.44304166596547	1.48205709525726e-09	5.48361125245186e-08	45	1.0518826501803e-05	1.75359100175237e-05
"ath00196 Photosynthesis - antenna proteins"	2.02144241304587e-05	-4.58978689177544	3.23596960518124e-09	8.97981565437794e-08	22	1.56140529057497e-05	2.62856115024222e-05
"ath04145 Phagosome"	2.55301088423572e-05	-4.15976569504507	5.12790045489296e-09	1.13839390098624e-07	86	2.37883839842767e-05	2.7747451063243e-05
"ath00062 Fatty acid elongation"	0.00253775092035608	-2.90103275973626	3.72326438326989e-05	0.000673268925844303	35	0.00323924170355531	0.001988697913963
"ath00940 Phenylpropanoid biosynthesis"	0.00270789967532829	-2.79919527439522	4.245840072892e-05	0.000673268925844303	154	0.00215760322094634	0.00342731885084297
"ath00941 Flavonoid biosynthesis"	0.0123967097041098	-2.32924828327889	0.000788807577709134	0.0109447051407142	20	0.0190082885988441	0.00832699630811924
"ath00750 Vitamin B6 metabolism"	0.0221415211297231	-2.11623233899395	0.00226730053072448	0.0279633732122686	14	0.0204214165965139	0.0244808415563383
"ath04075 Plant hormone signal transduction"	0.0271811673070132	-1.91863884505992	0.00339509644246034	0.0376855705113098	260	0.0174421080418445	0.042850613103018
"ath00100 Steroid biosynthesis"	0.0375467281447371	-1.79195741126067	0.00635675472821305	0.0641454340756044	35	0.0256769389483079	0.0575961048577157
"ath00710 Carbon fixation in photosynthetic organisms"	0.040774100824326	-1.74127918129878	0.00731263447043017	0.0676418688514791	68	0.0281393466588034	0.0612977794469344
"ath01040 Biosynthesis of unsaturated fatty acids"	0.0467478423293384	-1.69768490030815	0.00892766111698804	0.076228491075821	37	0.0378710766856624	0.0577704281141752
